Point,West Height (m),Center Height (m),East Height(m),West Diff (m),Center Diff (m),East Diff(m),West Grade (m),East Grade(m)
0,209.344,209.512,209.109,0.076,0.453,0.22,1.25,3.0
1,209.344,209.512,209.109,0.093,0.462,0.229,1.25,3.0
2,209.344,209.512,209.109,0.118,0.476,0.245,1.25,3.0
3,209.339,209.507,209.104,0.161,0.478,0.248,1.25,3.0
4,209.329,209.497,209.094,0.21,0.476,0.236,1.25,3.0
5,209.314,209.482,209.079,0.221,0.475,0.233,1.25,3.0
6,209.294,209.462,209.059,0.24,0.464,0.228,1.25,3.0
7,209.269,209.437,209.034,0.246,0.453,0.216,1.25,3.0
8,209.239,209.407,209.004,0.188,0.439,0.197,1.25,3.0
9,209.204,209.372,208.969,0.19,0.415,0.178,1.25,3.0
10,209.164,209.332,208.929,0.19,0.386,0.153,1.25,3.0
11,209.119,209.287,208.884,0.168,0.354,0.12,1.25,3.0
12,209.069,209.237,208.839,0.164,0.322,0.089,1.25,2.96
13,209.014,209.182,208.797,0.137,0.286,0.065,1.25,2.87
14,208.954,209.122,208.755,0.098,0.241,0.038,1.25,2.73
15,208.889,209.057,208.713,0.049,0.186,0.006,1.25,2.56
16,208.819,208.987,208.671,-0.009,0.131,-0.028,1.25,2.35
17,208.744,208.912,208.629,-0.078,0.066,-0.059,1.25,2.11
18,208.664,208.832,208.587,-0.153,0.0,-0.081,1.25,1.82
19,208.589,208.757,208.541,-0.219,-0.064,-0.106,1.25,1.61
20,208.519,208.687,208.494,-0.286,-0.113,-0.138,1.25,1.43
21,208.454,208.622,208.444,-0.34,-0.17,-0.177,1.25,1.32
22,208.394,208.562,208.394,-0.39,-0.22,-0.228,1.25,1.25
23,208.339,208.507,208.339,-0.428,-0.268,-0.267,1.25,1.25
24,208.289,208.457,208.289,-0.462,-0.307,-0.301,1.25,1.25
25,208.244,208.412,208.244,-0.496,-0.334,-0.33,1.25,1.25
26,208.204,208.372,208.204,-0.528,-0.359,-0.358,1.25,1.25
27,208.169,208.337,208.169,-0.549,-0.387,-0.378,1.25,1.25
28,208.139,208.307,208.139,-0.562,-0.409,-0.392,1.25,1.25
29,208.114,208.282,208.114,-0.575,-0.419,-0.404,1.25,1.25
30,208.094,208.262,208.094,-0.578,-0.423,-0.412,1.25,1.25
31,208.079,208.247,208.079,-0.58,-0.42,-0.414,1.25,1.25
32,208.069,208.237,208.069,-0.579,-0.415,-0.406,1.25,1.25
33,208.064,208.232,208.064,-0.573,-0.411,-0.397,1.25,1.25
34,208.064,208.232,208.064,-0.558,-0.401,-0.385,1.25,1.25
35,208.069,208.237,208.069,-0.532,-0.377,-0.373,1.25,1.25
36,208.079,208.247,208.079,-0.512,-0.356,-0.349,1.25,1.25
37,208.094,208.262,208.094,-0.478,-0.326,-0.324,1.25,1.25
38,208.114,208.282,208.114,-0.441,-0.287,-0.292,1.25,1.25
39,208.139,208.307,208.139,-0.397,-0.244,-0.268,1.25,1.25
40,208.169,208.337,208.169,-0.347,-0.201,-0.223,1.25,1.25
41,208.199,208.367,208.199,-0.296,-0.165,-0.178,1.25,1.25
42,208.224,208.392,208.224,-0.257,-0.136,-0.136,1.25,1.25
43,208.244,208.412,208.244,-0.23,-0.106,-0.101,1.25,1.25
44,208.259,208.427,208.259,-0.193,-0.075,-0.067,1.25,1.25
45,208.269,208.437,208.269,-0.167,-0.052,-0.039,1.25,1.25
46,208.274,208.442,208.274,-0.15,-0.038,-0.02,1.25,1.25
47,208.274,208.442,208.274,-0.136,-0.028,-0.004,1.25,1.25
48,208.269,208.437,208.269,-0.128,-0.017,0.004,1.25,1.25
49,208.259,208.427,208.259,-0.121,-0.007,0.001,1.25,1.25
50,208.244,208.412,208.244,-0.115,0.0,0.001,1.25,1.25
51,208.231,208.4,208.23,-0.114,-0.005,0.0,1.26,1.26
52,208.22,208.388,208.216,-0.11,-0.007,-0.001,1.25,1.28
53,208.208,208.376,208.202,-0.106,-0.002,0.0,1.25,1.29
54,208.194,208.362,208.188,-0.109,0.0,-0.001,1.25,1.29
55,208.179,208.347,208.174,-0.114,0.0,0.001,1.25,1.29
56,208.164,208.332,208.161,-0.116,0.0,0.005,1.25,1.27
57,208.151,208.319,208.151,-0.115,0.0,-0.012,1.25,1.25
58,208.14,208.309,208.141,-0.109,0.0,-0.004,1.26,1.25
59,208.128,208.296,208.128,-0.11,0.0,-0.002,1.25,1.25
60,208.114,208.282,208.114,-0.115,0.0,0.0,1.25,1.25
61,208.102,208.27,208.095,-0.105,0.0,0.0,1.25,1.3
62,208.087,208.256,208.077,-0.105,-0.002,0.001,1.26,1.33
63,208.075,208.244,208.064,-0.102,0.0,-0.001,1.26,1.34
64,208.064,208.232,208.05,-0.101,0.0,0.0,1.25,1.35
65,208.053,208.221,208.033,-0.096,0.0,0.0,1.25,1.4
66,208.038,208.206,208.019,-0.1,0.0,-0.003,1.25,1.39
67,208.023,208.191,208.005,-0.104,0.0,0.0,1.25,1.38
68,208.008,208.176,207.992,-0.101,0.0,0.007,1.25,1.37
69,207.998,208.166,207.98,-0.1,-0.001,0.009,1.25,1.38
70,207.988,208.156,207.968,-0.098,0.0,0.005,1.25,1.4
71,207.979,208.147,207.956,-0.098,0.0,-0.002,1.25,1.42
72,207.97,208.138,207.944,-0.091,0.0,0.0,1.25,1.44
73,207.956,208.124,207.931,-0.09,-0.002,0.011,1.25,1.43
74,207.94,208.108,207.918,-0.096,0.0,-0.009,1.25,1.41
75,207.929,208.097,207.905,-0.094,-0.001,-0.003,1.25,1.43
76,207.923,208.091,207.891,-0.09,-0.002,0.001,1.25,1.49
77,207.912,208.08,207.877,-0.089,-0.001,0.0,1.25,1.51
78,207.896,208.065,207.866,-0.084,0.0,0.0,1.26,1.48
79,207.879,208.047,207.85,-0.09,0.0,0.0,1.25,1.46
80,207.863,208.032,207.836,-0.094,-0.002,0.0,1.26,1.46
81,207.85,208.018,207.821,-0.105,0.0,0.0,1.25,1.46
82,207.837,208.009,207.804,-0.125,-0.001,-0.001,1.28,1.52
83,207.826,207.997,207.785,-0.133,0.0,-0.009,1.27,1.58
84,207.816,207.984,207.77,-0.107,0.0,-0.005,1.25,1.59
85,207.801,207.97,207.759,-0.108,-0.002,-0.002,1.26,1.57
86,207.786,207.954,207.748,-0.109,-0.004,0.0,1.25,1.53
87,207.771,207.939,207.732,-0.108,-0.002,0.0,1.25,1.54
88,207.756,207.924,207.716,-0.117,0.0,0.002,1.25,1.55
89,207.745,207.913,207.703,-0.123,0.0,0.003,1.25,1.56
90,207.735,207.903,207.691,-0.123,-0.001,-0.004,1.25,1.58
91,207.721,207.889,207.684,-0.131,0.0,0.0,1.25,1.52
92,207.707,207.875,207.681,-0.125,0.0,0.0,1.25,1.44
93,207.693,207.861,207.673,-0.127,0.0,-0.001,1.25,1.4
94,207.682,207.85,207.66,-0.129,0.0,0.0,1.25,1.41
95,207.67,207.842,207.643,-0.124,0.0,0.0,1.28,1.48
96,207.659,207.833,207.627,-0.131,0.0,0.001,1.29,1.53
97,207.649,207.82,207.615,-0.13,0.0,0.0,1.27,1.52
98,207.64,207.809,207.605,-0.135,0.0,0.0,1.26,1.52
99,207.631,207.8,207.595,-0.129,0.0,0.0,1.26,1.52
100,207.621,207.789,207.582,-0.131,-0.001,0.0,1.25,1.54
101,207.608,207.776,207.569,-0.129,0.0,0.0,1.25,1.54
102,207.595,207.763,207.552,-0.132,0.0,0.0,1.25,1.57
103,207.582,207.75,207.534,-0.136,0.0,0.0,1.25,1.61
104,207.574,207.742,207.521,-0.131,0.0,-0.004,1.25,1.64
105,207.564,207.732,207.508,-0.13,0.0,0.0,1.25,1.67
106,207.555,207.725,207.496,-0.136,0.0,0.0,1.26,1.7
107,207.546,207.714,207.485,-0.126,0.0,0.003,1.25,1.7
108,207.533,207.701,207.478,-0.13,0.0,0.014,1.25,1.66
109,207.522,207.692,207.473,-0.133,0.0,-0.013,1.26,1.63
110,207.513,207.681,207.468,-0.125,0.0,-0.004,1.25,1.58
111,207.501,207.669,207.459,-0.118,0.0,0.0,1.25,1.56
112,207.489,207.657,207.445,-0.121,0.0,0.0,1.25,1.58
113,207.476,207.646,207.429,-0.12,-0.001,0.0,1.26,1.61
114,207.461,207.631,207.414,-0.119,0.0,-0.003,1.26,1.61
115,207.449,207.618,207.4,-0.12,-0.002,0.0,1.26,1.62
116,207.437,207.605,207.387,-0.123,0.0,0.0,1.25,1.62
117,207.423,207.591,207.379,-0.129,0.0,0.0,1.25,1.58
118,207.414,207.582,207.369,-0.117,-0.001,0.003,1.25,1.58
119,207.403,207.571,207.356,-0.121,-0.002,0.0,1.25,1.6
120,207.387,207.555,207.344,-0.132,0.0,0.0,1.25,1.57
121,207.376,207.544,207.331,-0.121,-0.003,0.0,1.25,1.58
122,207.363,207.535,207.313,-0.127,0.0,-0.001,1.28,1.65
123,207.354,207.527,207.295,-0.115,-0.001,0.0,1.29,1.73
124,207.343,207.516,207.28,-0.11,-0.003,0.001,1.29,1.75
125,207.33,207.504,207.269,-0.108,0.0,0.0,1.29,1.75
126,207.318,207.491,207.259,-0.115,0.0,0.008,1.29,1.73
127,207.304,207.476,207.252,-0.127,0.0,-0.009,1.28,1.67
128,207.29,207.465,207.242,-0.14,0.0,-0.003,1.3,1.66
129,207.276,207.451,207.227,-0.131,-0.002,0.0,1.3,1.67
130,207.262,207.436,207.212,-0.138,-0.004,0.0,1.29,1.67
131,207.249,207.422,207.195,-0.14,-0.006,-0.002,1.29,1.69
132,207.237,207.409,207.175,-0.137,-0.004,0.001,1.28,1.74
133,207.23,207.398,207.155,-0.135,0.0,-0.004,1.25,1.81
134,207.224,207.392,207.139,-0.133,-0.004,0.0,1.25,1.88
135,207.217,207.385,207.124,-0.128,0.0,0.0,1.25,1.94
136,207.207,207.375,207.109,-0.122,0.0,0.0,1.25,1.98
137,207.197,207.367,207.094,-0.126,-0.003,0.0,1.26,2.03
138,207.187,207.355,207.08,-0.126,0.0,0.003,1.25,2.05
139,207.177,207.345,207.067,-0.127,0.0,0.0,1.25,2.07
140,207.17,207.338,207.054,-0.121,0.0,0.0,1.25,2.11
141,207.162,207.33,207.041,-0.122,0.0,0.001,1.25,2.15
142,207.153,207.321,207.033,-0.129,0.0,0.006,1.25,2.14
143,207.14,207.308,207.026,-0.131,0.0,0.01,1.25,2.1
144,207.125,207.293,207.019,-0.124,0.0,-0.008,1.25,2.04
145,207.112,207.28,207.012,-0.123,0.0,0.0,1.25,1.99
146,207.102,207.27,207.004,-0.124,0.0,0.0,1.25,1.98
147,207.092,207.26,206.995,-0.124,0.0,0.001,1.25,1.97
148,207.083,207.251,206.985,-0.125,0.0,0.0,1.25,1.98
149,207.075,207.243,206.974,-0.111,0.0,0.001,1.25,2.0
150,207.067,207.235,206.96,-0.115,-0.002,0.0,1.25,2.05
151,207.058,207.226,206.944,-0.124,-0.002,0.0,1.25,2.1
152,207.048,207.216,206.929,-0.121,0.0,-0.005,1.25,2.14
153,207.038,207.206,206.917,-0.122,0.0,-0.004,1.25,2.15
154,207.029,207.197,206.905,-0.12,0.0,0.001,1.25,2.17
155,207.019,207.188,206.893,-0.122,-0.001,-0.002,1.26,2.19
156,207.009,207.179,206.88,-0.123,0.0,-0.004,1.26,2.22
157,207.001,207.169,206.867,-0.127,0.0,0.0,1.25,2.25
158,206.992,207.16,206.855,-0.13,-0.003,-0.002,1.25,2.27
159,206.983,207.151,206.846,-0.133,-0.005,0.001,1.25,2.27
160,206.974,207.142,206.84,-0.131,-0.003,0.01,1.25,2.25
161,206.965,207.133,206.838,-0.155,0.0,-0.01,1.25,2.19
162,206.957,207.128,206.831,-0.153,-0.001,-0.009,1.27,2.21
163,206.949,207.123,206.824,-0.142,-0.003,-0.007,1.29,2.22
164,206.941,207.117,206.818,-0.135,0.0,-0.002,1.31,2.22
165,206.933,207.109,206.811,-0.136,-0.003,0.0,1.31,2.22
166,206.925,207.103,206.804,-0.134,-0.003,0.0,1.32,2.22
167,206.918,207.099,206.797,-0.128,0.0,0.0,1.34,2.25
168,206.911,207.095,206.786,-0.122,-0.004,0.0,1.37,2.3
169,206.904,207.086,206.775,-0.114,-0.011,0.0,1.35,2.31
170,206.897,207.074,206.763,-0.111,0.0,0.0,1.31,2.31
171,206.89,207.067,206.753,-0.098,-0.001,0.0,1.31,2.34
172,206.883,207.061,206.746,-0.084,0.0,-0.001,1.32,2.34
173,206.876,207.054,206.74,-0.076,0.0,0.002,1.32,2.34
174,206.866,207.042,206.734,-0.079,0.0,-0.003,1.31,2.29
175,206.856,207.026,206.732,-0.08,0.0,0.004,1.26,2.19
176,206.847,207.015,206.729,-0.078,-0.001,0.01,1.25,2.13
177,206.841,207.009,206.726,-0.076,-0.001,0.016,1.25,2.11
178,206.835,207.004,206.723,-0.073,-0.001,0.021,1.26,2.09
179,206.827,206.995,206.72,-0.073,0.0,-0.005,1.25,2.05
180,206.818,206.986,206.716,-0.069,0.0,0.0,1.25,2.01
181,206.807,206.975,206.711,-0.07,0.0,0.0,1.25,1.96
182,206.798,206.966,206.703,-0.071,0.0,0.0,1.25,1.96
183,206.788,206.956,206.695,-0.054,-0.002,0.003,1.25,1.94
184,206.778,206.946,206.687,-0.047,-0.002,0.005,1.25,1.93
185,206.768,206.936,206.679,-0.047,0.0,0.0,1.25,1.91
186,206.76,206.928,206.67,-0.045,0.0,-0.001,1.25,1.92
187,206.751,206.921,206.66,-0.043,-0.001,-0.001,1.26,1.94
188,206.74,206.909,206.65,-0.045,0.0,0.0,1.26,1.93
189,206.724,206.892,206.637,-0.05,0.0,0.003,1.25,1.9
190,206.712,206.88,206.624,-0.052,-0.001,0.004,1.25,1.9
191,206.702,206.87,206.61,-0.055,-0.002,-0.001,1.25,1.93
192,206.692,206.861,206.595,-0.056,0.0,0.0,1.26,1.98
193,206.681,206.851,206.583,-0.059,0.0,0.003,1.26,1.99
194,206.669,206.837,206.575,-0.064,-0.01,0.007,1.25,1.95
195,206.659,206.827,206.568,-0.064,-0.008,0.013,1.25,1.93
196,206.65,206.818,206.561,-0.062,-0.007,-0.008,1.25,1.91
197,206.641,206.809,206.554,-0.061,0.0,0.0,1.25,1.9
198,206.632,206.802,206.546,-0.062,0.0,0.0,1.26,1.9
199,206.627,206.797,206.534,-0.058,-0.003,0.0,1.26,1.96
200,206.62,206.788,206.522,-0.03,0.0,0.0,1.25,1.98
201,206.609,206.777,206.511,-0.035,0.0,0.0,1.25,1.98
202,206.601,206.769,206.499,-0.038,0.0,0.0,1.25,2.01
203,206.598,206.766,206.483,-0.034,-0.003,0.001,1.25,2.11
204,206.59,206.758,206.469,-0.029,-0.001,-0.001,1.25,2.15
205,206.577,206.745,206.458,-0.038,0.0,-0.002,1.25,2.14
206,206.564,206.732,206.448,-0.047,-0.004,0.0,1.25,2.11
207,206.547,206.717,206.436,-0.065,0.0,0.002,1.26,2.09
208,206.533,206.702,206.422,-0.072,-0.004,0.0,1.26,2.08
209,206.519,206.688,206.407,-0.081,-0.008,0.0,1.26,2.09
210,206.506,206.674,206.395,-0.081,-0.008,0.0,1.25,2.08
211,206.497,206.665,206.385,-0.078,-0.011,-0.001,1.25,2.08
212,206.488,206.656,206.376,-0.069,-0.012,0.001,1.25,2.08
213,206.481,206.649,206.372,-0.061,-0.011,0.011,1.25,2.06
214,206.471,206.641,206.371,-0.056,-0.005,-0.01,1.26,2.01
215,206.46,206.629,206.366,-0.058,-0.003,-0.008,1.26,1.96
216,206.448,206.616,206.356,-0.066,-0.001,-0.003,1.25,1.93
217,206.437,206.605,206.348,-0.069,0.0,0.002,1.25,1.91
